obj,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
HIP10303,2455846.78809927,-5.23943485914563,0.000581823168785,900.0054,6.87002303830578,-0.0386033681270623,HARPS-B,96.3
HIP10303,2455850.78260238,-5.2390315579564,0.0005090662279794,900.0056,6.86857702223006,-0.0393963533209831,HARPS-B,110.5
HIP10303,2455851.77219622,-5.24060019237142,0.0004843306453309,900.0057,6.86716908899198,-0.0371520665847385,HARPS-B,115.9
HIP10303,2455852.76549218,-5.2415909723049,0.0006702851792352,900.0058,6.86670435665181,-0.0384227358912907,HARPS-B,84.9
HIP10303,2456164.91118156,14.8369208760485,0.0007479764947818,900.0003,6.32635625752467,0.0,HARPS-B,262.7
HIP10303,2456165.91223308,12.3621125979158,0.0005833546595473,900.0005,6.57403641860203,0.0,HARPS-B,297.4
HIP10303,2456299.5777051,-5.24761948384694,0.0005417365850688,900.0007,6.86919376946356,-0.0405967910435896,HARPS-B,103.4
HIP10303,2456300.55350344,-5.24668013951331,0.0004180992411192,900.0012,6.86580967880807,-0.0399635141342376,HARPS-B,134.3
HIP10303,2456486.89859206,-5.24905961019598,0.000453202106611,899.9996,6.87028214981929,-0.0409979806020537,HARPS-B,121.5
HIP10303,2456487.90840867,-5.24951962974667,0.0004301721572855,900.0007,6.86766029748216,-0.0421294717232961,HARPS-B,128.2
HIP10303,2456489.92764898,-5.23852174776244,0.0005183836427409,900.0002,6.8671146804175,-0.0391733846186009,HARPS-B,106.8
HIP10303,2456490.90830833,-5.23939111934185,0.0004740809119871,900.0004,6.86490568635716,-0.0387507420586282,HARPS-B,116.8
HIP10303,2456557.89656834,-5.23501140399152,0.0011311091644764,900.0009,6.88011597383887,-0.0427992869461882,HARPS-B,51.8
HIP10303,2456558.82202851,-5.23765163416391,0.000373455688904,900.0003,6.8702848371402,-0.0423725330557554,HARPS-B,150.4
HIP10303,2456560.82990806,-5.23623100736525,0.0003937117253008,899.9994,6.86834818030728,-0.038745567220424,HARPS-B,141.6
HIP10303,2456637.62270896,-5.23878558871967,0.0004329488443137,900.0006,6.87133360899067,-0.0404433728240488,HARPS-B,129.3
HIP10303,2456638.65302575,-5.23771010628805,0.000455673458915,900.0002,6.86951263216704,-0.0392466717815623,HARPS-B,124.0
HIP10303,2456639.61052285,-5.23896664497781,0.0004580205025369,899.9998,6.86918082917515,-0.0411628735432048,HARPS-B,123.3
HIP10303,2456640.62302631,-5.23769052197277,0.0004868770893599,899.9934,6.86967682399113,-0.037123828228065,HARPS-B,116.1
HIP10303,2456641.63385059,-5.23774174544303,0.0004583200937668,899.9999,6.87055253133318,-0.0406751648375119,HARPS-B,121.8
HIP10303,2456643.63933994,-5.23644115908658,0.0006391868940429,900.001,6.87046580647989,-0.0395042590013359,HARPS-B,88.9
HIP10303,2456708.51263578,-5.23514172388917,0.0006730913769811,900.0019,6.87106900363676,-0.0393552373890698,HARPS-B,83.0
HIP10303,2456709.51912587,-5.2373289177264,0.0005233931366246,900.0009,6.87018930909968,-0.0391493572382924,HARPS-B,107.3
HIP10303,2456710.5116018,-5.23961839716354,0.0005482000900201,900.0017,6.87032262006613,-0.0403128358754525,HARPS-B,102.8
HIP10303,2456711.51091835,-5.23687549252047,0.000551916999688,900.0022,6.87041360143082,-0.0386864210408238,HARPS-B,100.1
HIP10303,2456851.94830787,-5.23839176495214,0.000515034180763,900.0013,6.86949768847774,-0.0391212197324515,HARPS-B,107.0
HIP10303,2456852.9042536,-5.23750999133377,0.0007242805341839,900.0003,6.86876074549454,-0.0384869291924916,HARPS-B,77.8
HIP10303,2456855.90992903,-5.24070732511198,0.0006596626642436,900.0008,6.86712606552776,-0.0420500809187674,HARPS-B,84.7
HIP10303,2456856.91273178,-5.23959051497423,0.0006092059064897,900.0012,6.87020763226394,-0.0402778090861533,HARPS-B,91.0
HIP10303,2456904.80694608,-5.23903453294057,0.0005961368374514,900.0013,6.86891111163052,-0.0419329088758547,HARPS-B,93.5
HIP10303,2456904.87522635,-5.23675486333971,0.0005093856504363,900.0011,6.86932236356944,-0.0370012806311051,HARPS-B,109.8
HIP10303,2456906.78398159,-5.23751415417661,0.000711322443071,900.0016,6.87095885086833,-0.0413311486598822,HARPS-B,78.8
HIP10303,2456906.87795792,-5.23920528865443,0.0005945109032231,900.0013,6.86765964438219,-0.0419658290161475,HARPS-B,94.0
HIP10303,2456907.79608727,-5.23963825169183,0.0005473001456205,900.0007,6.87137893476141,-0.0388834310218904,HARPS-B,101.9
HIP10303,2456907.88898703,-5.2387563672425,0.0004362157179763,900.0014,6.87118873391635,-0.0390244233232142,HARPS-B,128.3
HIP10303,2456960.71634182,-5.23767663724937,0.0003736151893557,900.0018,6.87089370320835,-0.0397648104350434,HARPS-B,151.1
HIP10303,2456961.70912983,-5.23630062903173,0.0004235229390094,900.0014,6.87293847080224,-0.0383832420137411,HARPS-B,132.7
HIP10303,2456961.77042528,-5.23851512190553,0.0005027041738184,900.0013,6.87002834240799,-0.0414974402324733,HARPS-B,111.5
HIP10303,2456963.68481686,-5.23828077416938,0.0003868263277243,900.0023,6.87213999175811,-0.0400396177255411,HARPS-B,145.4
HIP10303,2456963.74193394,-5.23688102063982,0.0004233788679739,900.0011,6.87056162829898,-0.0423424406821908,HARPS-B,132.6
HIP10303,2456964.76096648,-5.23957022470119,0.0004288975219422,900.0022,6.87023868507507,-0.0398683971910749,HARPS-B,130.7
HIP10303,2456965.67572862,-5.24129477456095,0.0004211976433044,900.0007,6.86923512779489,-0.0422067176008127,HARPS-B,133.7
HIP10303,2456965.7343964,-5.23874162407229,0.0003623537703697,900.0009,6.86864675438645,-0.0398150501238517,HARPS-B,155.3
HIP10303,2456966.7127205,-5.23892802803832,0.0004952330438866,900.0015,6.8719499342694,-0.0395655761065496,HARPS-B,113.9
HIP10303,2457025.54886247,-5.23764297362773,0.0005262472618447,900.0004,6.87193701159815,-0.0404896960651495,HARPS-B,107.9
HIP10303,2457026.56932304,-5.23745648522648,0.0004379475428341,900.0016,6.87160382165944,-0.0399534381591664,HARPS-B,129.4
HIP10303,2457027.57344203,-5.23851352755424,0.0004613199597627,900.0017,6.87054406842773,-0.0389195692941424,HARPS-B,122.4
