time,mnvel,errvel,tel,svalue
2455984.80553981,69633.4766652203,0.7313994969052999,HARPS-B,nodata
2455985.79661267,69633.9965069224,0.6283327006032999,HARPS-B,nodata
2455986.80938778,69634.74621589221,0.7191070277509,HARPS-B,nodata
2456042.58594117,69644.45580465841,1.1588420074843,HARPS-B,nodata
2456047.67204382,69643.4994934565,0.9872291581216,HARPS-B,nodata
2456048.67367947,69649.64842772539,0.8348368701346001,HARPS-B,nodata
2456299.87660738,69627.2295879794,0.8695629340035,HARPS-B,nodata
2456301.79488432,69632.1819503508,0.9574607490698,HARPS-B,nodata
2456375.75772588,69631.1496551436,0.742525193028,HARPS-B,nodata
2456376.77093253,69632.7890956287,0.7959776925433,HARPS-B,nodata
2456377.72561703,69630.3991162502,0.6989017113928,HARPS-B,nodata
2456378.71342707,69630.9922226569,0.7720280235923,HARPS-B,nodata
2456379.74058967,69631.5214314957,0.7360442641158,HARPS-B,nodata
2456380.74382658,69630.3044974378,0.7168561587872,HARPS-B,nodata
2456381.74146038,69630.1687852951,0.6672821427329,HARPS-B,nodata
2456484.52523418,69634.253304231,0.9092580384405,HARPS-B,nodata
2456485.52808497,69634.2149767515,0.989596336127,HARPS-B,nodata
2456486.51535761,69631.8651650858,0.6611827627438001,HARPS-B,nodata
2456487.536447,69630.4304472056,0.6813271205042,HARPS-B,nodata
2456488.49264447,69631.6031454111,0.7655196119779999,HARPS-B,nodata
2456489.49768085,69643.2676098534,0.9414178944624,HARPS-B,nodata
2456490.54649859,69641.7306189917,0.8201025846679,HARPS-B,nodata
2456708.77891197,69638.0721751005,0.7539441731336,HARPS-B,nodata
2456709.80011737,69636.64906976889,0.8412626196443,HARPS-B,nodata
2456710.79782535,69637.6992099699,0.8429618898622,HARPS-B,nodata
2456711.77088999,69639.219407368,0.8598702945075,HARPS-B,nodata
2456850.55385496,69639.7019352989,1.0978514549493998,HARPS-B,nodata
2456851.55110395,69640.2939429194,1.1201667103672002,HARPS-B,nodata
2456852.52671041,69635.9154225312,0.8576714453851,HARPS-B,nodata
2456854.51562787,69643.812967729,1.6060707951282,HARPS-B,nodata
2456855.50374383,69639.55904708951,0.7990180297406,HARPS-B,nodata
2456856.50928877,69642.5270998141,0.8428582579169,HARPS-B,nodata
2457026.83304695,69641.0229829333,0.7972264990678001,HARPS-B,nodata
2457226.51760807,69637.55763767324,0.9196406501053834,HARPS-A,nodata
2457230.53061295,69638.22287077195,0.8675686987321833,HARPS-A,nodata
2457764.7957392,69633.93689804015,0.5524854425620834,HARPS-A,nodata
2457807.84044695,69637.73033413064,1.2505692480377835,HARPS-A,nodata
2457808.80836021,69634.12132271564,0.8764533459707833,HARPS-A,nodata
2457809.71880385,69636.32147924404,0.6612267325721833,HARPS-A,nodata
