obj,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
HIP10303,2457226.899707,-5.22262253203594,0.0004243325336528,899.9983,6.88326131641535,-0.0271010667850042,HARPS-A,134.9
HIP10303,2457228.88248701,-5.22239974172133,0.0003737948325606,899.9983,6.88311489038003,-0.0264029330798774,HARPS-A,152.5
HIP10303,2457229.90462058,-5.222321901021,0.0003601457459027,899.9984,6.88250850798846,-0.0277315529895583,HARPS-A,158.5
HIP10303,2457232.87287486,-5.22215560417072,0.0008239165562616,899.9983,6.88631883031203,-0.030144987934003,HARPS-A,71.4
HIP10303,2457282.85064744,-5.22022493531166,0.0004856923979468,899.9983,6.88496358057271,-0.0264669515937106,HARPS-A,118.6
HIP10303,2457283.81814238,-5.22063590139102,0.0003594421459965,899.9983,6.88322843428922,-0.026087743617218,HARPS-A,158.1
HIP10303,2457588.93275495,-5.22249915197837,0.0004543759514986,899.9982,6.8888141625798,-0.0239240586843845,HARPS-A,126.8
HIP10303 ,2457763.61845261,-5.22216807969742,0.0004111170043702,899.9982,6.88812842834533,-0.0226402297783572,HARPS-A,137.0
HIP10303 ,2458048.69287331,-5.22583330235862,0.0003674045083327,899.9983,6.89057050068078,-0.0227423806009766,HARPS-A,152.7
HIP10303 ,2458084.71928565,-5.22499089342333,0.00047981047943,899.9982,6.8872371697508,-0.0233500637580635,HARPS-A,116.8
