obj,bjd,rv,rverr,exptime,fwhm,bis,tel,snr
HIP28066          ,2455850.87627093,0.420028144991622,0.0005583730493002,400.0058,6.88263967788332,-0.0191296433337512,HARPS-B,115.0
HIP28066          ,2455850.88117878,0.420273816386091,0.0005930150306576,400.0056,6.88283269546576,-0.0193577672040904,HARPS-B,108.5
HIP28066          ,2455851.86117353,0.422952735325613,0.0005036079934168,400.006,6.88182504339148,-0.0206306733192104,HARPS-B,127.1
HIP28066          ,2455851.86617397,0.422928522658048,0.0004836440912148,400.0056,6.88236354106111,-0.0220152677285537,HARPS-B,132.1
HIP28066          ,2455852.86054432,0.421403821586665,0.0005514962148018,400.0058,6.87527280065005,-0.0210234165289879,HARPS-B,117.6
HIP28066          ,2455852.86546373,0.422660714141507,0.000649321184969,400.0055,6.87779095183257,-0.0215544314250973,HARPS-B,100.2
HIP28066          ,2455983.5522171,0.420480513612726,0.0004048748069162,399.9939,6.88224396197514,-0.0224331360107108,HARPS-B,160.0
HIP28066          ,2455983.55712406,0.420983212929331,0.000410010689267,399.9939,6.88034395948076,-0.0210044554917939,HARPS-B,158.1
HIP28066          ,2455984.54370054,0.420159764964386,0.000459207100268,400.0002,6.87829463243544,-0.0198970653871904,HARPS-B,141.5
HIP28066          ,2455984.54870008,0.419415181705267,0.0004556473674787,400.0,6.87814245799269,-0.0198364756009227,HARPS-B,142.5
HIP28066          ,2455985.54945289,0.417711361108979,0.0004979117058498,399.9939,6.8810877857301,-0.021649227512646,HARPS-B,130.5
HIP28066          ,2455985.55445242,0.418198157130813,0.0005144872107421,399.9939,6.87841248232926,-0.0221208565245926,HARPS-B,126.3
HIP28066          ,2455986.56975189,0.419313632225937,0.0004634020066926,399.9941,6.88357107341993,-0.0242766422620408,HARPS-B,139.8
HIP28066          ,2455986.57479772,0.420004051194336,0.0005159763110287,399.9941,6.87953817565792,-0.0196606457448897,HARPS-B,125.1
HIP28066          ,2456298.63636814,0.41162638924531,0.0007302952703997,400.0008,6.88677707691029,-0.0208832979329398,HARPS-B,88.4
HIP28066          ,2456298.64133328,0.412562347984566,0.0006978866051824,400.0008,6.88537311442385,-0.0192909420320055,HARPS-B,92.3
